paper_id,title,year_version,inputs,dataset,relevance,limitation,source_url,source_sheet,source_row
P01,"YASA — An open-source, high-performance tool for automated sleep staging",2021,EEG + EOG + EMG; age/sex; EEG+EOG ablation,NSRR test 1: 585 nights; DOD external test,مرجع اصلی؛ ویژگی‌های دستی، طبقه‌بند تقویتی، زمینه زمانی,پنل A میانه شبانه؛ پنل C بازیابی تجمیعی، نه F1,https://elifesciences.org/articles/70092,مقالات,5
P02,DeepSleepNet,2017,Single EEG,Sleep-EDF-20; MASS,مدل مرجع CNN و LSTM برای مقایسه پایه,ورودی و جمعیت با پروژه متفاوت؛ CV مستقل از فرد,https://arxiv.org/abs/1703.04046,مقالات,6
P03,SeqSleepNet,2019,EEG + EOG + EMG; alternative configurations,MASS; subsequent EDF evaluations,یادگیری دنباله‌به‌دنباله و زمینه زمانی,نتایج بازپیاده‌سازی EDF را با نتیجه مقاله اصلی جابه‌جا نکنید,https://arxiv.org/abs/1809.10932,مقالات,7
P04,SleepEEGNet,2019,Single EEG,Sleep-EDF 2013 and 2018,دنباله‌به‌دنباله با توجه به نامتوازنی کلاس‌ها,اعداد هر نسخه داده و مونتاژ جداگانه‌اند,https://arxiv.org/html/1903.02108v1,مقالات,8
P05,IITNet,2020; preprint 2019,Single EEG,Sleep-EDF; MASS; SHHS,ویژگی زیر-اپوک و زمینه درون/بین اپوک,بهترین طول دنباله برای داده‌ها یکسان نیست,https://arxiv.org/abs/1902.06562,مقالات,9
P06,U-Time,2019,Single EEG; multimodal ablations,EDF-39; EDF-153; five additional cohorts,شبکه تمام‌کانولوشنی، بدون RNN,F1 جهانی با میانگین F1 شب‌ها متفاوت است,https://arxiv.org/html/1910.11162v1,مقالات,10
P07,TinySleepNet,2020,Single EEG,Sleep-EDF 2013 and 2018; other cohorts,مدل سبک و خط پایه هزینه محاسبات,ارقام از جدول رسمی نویسندگان؛ نه بازپیاده‌سازی‌های متفرقه,https://github.com/akaraspt/tinysleepnet,مقالات,11
P08,AttnSleep — An Attention-Based Deep Learning Approach for Sleep Stage Classification With Single-Channel EEG,2021,Single EEG,EDF-20; EDF-78; selected SHHS,توجه و ویژگی‌های چندمقیاسی؛ ماتریس اغتشاش قابل مقایسه,نسخه تک‌اپوک و سه‌اپوک جدا گزارش شوند,https://personal.ntu.edu.sg/ctguan/Publications/2021_Emad_IEEE_TNSRE.pdf,مقالات,12
P09,XSleepNet: Multi-View Sequential Model for Automatic Sleep Staging,2021 online / 2022 volume,EEG; EEG+EOG; EEG+EOG+EMG,EDF; MASS; Physio2018; SHHS,ورودی EEG+EOG برای پروژه بسیار مرتبط است,نسخه XSleepNet2 و پنجره بیداری ±30 دقیقه در جدول مشخص شده,https://arxiv.org/pdf/2007.05492,مقالات,13
P10,SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification,2022,Single EEG,SHHS; expanded EDF,توجه، عدم‌قطعیت و پیش‌آموزش,EDF با و بدون پیش‌آموزش SHHS دو آزمایش متفاوت است,https://arxiv.org/pdf/2105.11043,مقالات,14
P11,L-SeqSleepNet: Whole-cycle Long Sequence Modelling for Automatic Sleep Staging,2023,Single EEG,SHHS; EDF-20,زمینه زمانی بلند و پیش‌آموزش,نتایج EDF میانگین تکرارهای CV است؛ نه میانه شبانه,https://ar5iv.labs.arxiv.org/html/2301.03441,مقالات,15
P12,SleePyCo: Automatic sleep scoring with feature pyramid and contrastive learning,2024; preprint 2022,Single EEG,Expanded EDF; MASS; Physio2018; SHHS,نزدیک‌ترین MF1 عددی و ماتریس بازیابی در EDF,مقاله تعداد 79 فرد را در EDF گزارش می‌کند؛ آن را خودکار با EDF-78 یکسان نکنید,https://arxiv.org/pdf/2209.09452,مقالات,16
